user_lifetime_value,geo.country,user_id,user_properties.save_payment_info,user_properties.push_opt_in,event_name.add_to_wishlist,web_sessions,app_sessions,transactions,items_viewed,session_duration,promotion_clicks,ecommerce.purchase_value,items_viewed_filtered_by_sale,ecommerce.discount,items_viewed_per_app_session,transactions_app,items_added_to_cart_per_session_count,user_engagement_proxy,is_churned
380.79,US,0,0,0,7,11,8,12,98,62.04,3,326.41,98,0.9,5.23,18,2.72,1,1
951.21,TR,1,1,0,1,2,7,7,76,368.06,8,468.46,43,0.75,2.72,9,0.21,3,1
734.67,US,2,1,0,6,44,32,13,114,99.43,1,36.68,59,0.08,3.99,16,3.72,2,1
602.67,US,3,1,1,1,17,5,7,133,28.25,18,413.25,61,0.9,5.99,12,2.23,0,1
164.46,TR,4,1,0,3,39,40,13,150,582.74,0,149.73,86,0.79,6.53,12,0.1,4,0
164.43,DE,5,1,1,6,20,38,6,186,466.39,6,224.74,16,0.16,1.54,6,0.31,6,1
67.5,US,6,0,0,2,14,3,11,90,588.26,16,15.85,64,0.05,9.77,9,1.94,1,1
867.51,TR,7,1,1,1,32,12,10,97,291.95,2,154.02,94,0.56,5.45,1,2.92,4,1
605.1,FR,8,1,1,9,34,48,10,119,324.03,19,253.8,94,0.16,1.36,3,2.32,5,0
710.99,CA,9,1,0,6,25,1,12,45,109.32,19,32.81,56,0.83,8.94,5,3.1,6,1
30.38,CA,10,0,1,0,7,4,17,37,155.68,2,248.09,54,0.36,0.75,17,2.4,0,0
970.21,US,11,1,0,7,35,43,1,141,504.74,2,463.92,52,0.91,9.08,5,3.31,6,1
834.12,DE,12,1,1,2,47,26,14,99,220.15,16,57.17,55,0.57,9.97,16,1.1,3,1
220.22,DE,13,0,0,1,29,31,19,71,497.82,6,383.4,97,0.18,7,13,0.56,7,1
190.01,FR,14,1,0,2,22,20,17,189,428.32,13,207.79,8,0.14,7.7,10,2.98,3,0
191.57,US,15,0,1,4,41,7,14,34,114.53,16,329.31,21,0.58,3.37,18,2.42,5,0
311.2,CA,16,0,0,7,43,37,18,146,309.39,17,133.82,12,0.76,9.42,1,0.13,8,0
529.51,DE,17,0,0,9,13,7,11,29,409.66,12,83.95,88,0.78,5.3,2,1.9,4,0
437.63,US,18,0,1,6,13,49,12,77,148.67,19,84.43,47,0.28,7.32,10,0.53,3,0
298.32,IN,19,0,0,6,1,2,10,83,500.11,19,39.89,17,0.2,9.24,5,2.66,7,0
615.73,DE,20,1,0,6,36,43,4,112,331.45,17,96.9,75,0.02,9.75,13,1.98,8,1
148.1,TR,21,0,1,7,4,2,0,24,107.49,3,333.79,39,0.68,8.33,18,3.07,3,0
299.22,IN,22,0,1,0,37,21,2,167,353.96,0,441.44,16,0.08,3.03,15,4.03,2,1
372.7,DE,23,1,0,3,44,5,18,87,599.83,17,407.99,14,0.42,9.67,6,1.5,7,0
461.51,CA,24,0,0,5,40,1,6,13,98.81,0,344.14,14,0.6,6.28,7,4.81,4,0
787.32,UK,25,1,1,8,46,22,11,153,491.89,12,59.66,78,0.94,9.31,18,2.68,1,0
207.68,IN,26,1,1,1,13,43,14,101,132.31,19,148.15,62,0.31,6.76,19,3.09,9,1
519.09,FR,27,1,0,0,38,1,4,149,471.61,19,158.35,38,0.25,3.07,15,3.4,8,0
596.49,FR,28,0,1,9,24,37,14,175,443.4,9,128.73,12,0.65,3.7,6,3.33,2,0
55.99,CA,29,0,0,1,19,16,7,82,187.29,10,259.93,80,0.62,5.5,8,2.55,1,1
611.47,DE,30,0,0,6,1,34,9,109,202.24,8,270.1,31,0.33,7.9,12,2.14,0,1
178.82,US,31,1,0,2,38,33,15,178,477.59,8,181.66,8,0.93,3.18,0,0.27,7,1
74.4,DE,32,0,0,9,5,22,7,130,282.25,4,180.13,39,0.84,5.8,7,0.11,2,1
949.4,CA,33,0,0,1,16,29,0,169,441.18,0,415.14,19,0.22,3.46,3,1.79,6,0
965.98,FR,34,0,1,6,24,7,11,18,97.31,16,395.7,89,0.24,8.16,2,1.67,0,1
810.31,DE,35,1,1,1,27,21,4,27,513.01,1,157.36,90,0.51,4.67,2,1.94,0,0
311.57,FR,36,1,1,2,1,43,2,172,429.42,12,457.33,84,0.77,0.77,12,0.69,8,0
106.7,IN,37,0,1,6,34,35,0,70,545.1,8,476.64,81,0.04,1.66,7,3.69,7,1
687.39,US,38,0,0,3,36,4,3,62,88.1,3,166.74,76,0.69,0.61,6,4.28,2,0
445.75,IN,39,0,0,0,4,12,7,72,359.88,4,180.44,79,0.65,4.99,0,4.69,5,1
130.82,FR,40,0,0,4,0,28,2,123,363.48,10,255.29,72,0.23,1.06,15,2.46,2,0
500.23,FR,41,1,0,8,39,30,9,118,218.54,18,470.85,62,0.68,1.14,5,3.5,3,1
44.04,UK,42,1,1,7,11,46,1,120,280.5,2,438.78,75,0.94,9.41,6,4.28,0,1
910.23,UK,43,1,0,8,35,15,10,18,32.41,11,55.77,43,0.05,8.73,11,2.09,4,1
266.19,IN,44,1,0,9,44,41,9,174,450.06,18,199.4,37,0.32,4.52,8,1.55,0,1
665.9,TR,45,0,1,8,22,29,13,141,334.1,18,278.92,82,0.44,9.86,10,4.68,0,1
318.59,IN,46,0,1,6,46,15,6,119,44.07,12,254.05,59,0.9,0,9,2.58,9,1
524.87,UK,47,0,1,3,30,11,1,165,411.65,6,100.96,70,0.96,6.14,0,2.49,6,0
551.24,FR,48,1,1,4,10,16,8,180,285.4,14,430.11,98,0.44,6.16,17,0.89,5,0
193.01,CA,49,0,0,0,9,15,15,60,30.33,6,340.09,47,0.75,4.57,3,0.54,1,0
969.89,IN,50,1,0,0,2,11,12,163,582.07,7,419.76,17,0.53,3.97,4,4.21,1,1
777.38,FR,51,1,1,2,13,7,8,167,569.98,4,430.09,15,0.54,4.55,8,3.07,6,0
